id,helpfulness,slot,accuracy,tone,faithfulness,total,bucket
case_01,2,2,5,4,5,2.5,差
case_02,3,2,5,4,5,3.0,中
case_03,3,2,5,4,5,3.0,中
case_04,3,2,5,4,5,3.0,中
case_05,3,2,5,4,5,3.0,中
case_06,2,2,5,4,5,2.5,差
case_07,3,5,5,4,5,3.9,中
case_08,4,5,5,4,5,4.4,好
case_09,3,2,5,4,5,3.0,中
case_10,3,5,5,4,5,3.9,中
case_11,2,2,4,4,5,2.4,差
case_12,2,3,5,4,5,2.8,差
case_13,2,3,5,4,5,2.8,差
case_14,3,5,5,5,5,4.0,好
case_15,3,2,5,5,5,3.1,中
case_16,2,2,5,4,5,2.5,差
case_17,2,4,5,4,5,3.1,中
case_18,3,2,4,4,5,2.9,差
case_19,2,3,5,4,5,2.8,差
case_20,2,2,5,4,5,2.5,差
